Distance Left,Distance Right,Distance Middle,Diagonal 1,Diagonal 2,results
0.2909371829870572,0.2969661409805651,0.29001915645541615,0.3041381265149109,0.29948103260288267,0
0.14035668847618202,0.14035668847618202,0.14015864027752425,0.16282232989093087,0.13703203194062977,0
0.24020824298928628,0.24335616331258636,0.24,0.25466753926552066,0.24877477542727056,0
0.18714225130157597,0.18381754238616307,0.18381754238616307,0.19734346820820908,0.19697715603592203,0
0.21356757972855123,0.2209072203437452,0.21830152440043923,0.23125262761269927,0.21213203435596423,0
0.1797838208021573,0.18764623926716764,0.1891795149821695,0.19827029810617397,0.17081503967091946,0
0.12369316876852982,0.12292725943057183,0.11967548714010831,0.1216552506059644,0.14240006242195885,0
0.0833999733546454,0.08006941432976206,0.0833999733546454,0.0998888270918113,0.08875684637129569,1
0.11338234234463294,0.11005049346146117,0.11333333333333329,0.13131810402394806,0.11338234234463293,1
0.15336956093769785,0.15333333333333343,0.15680844648452108,0.16666666666666669,0.15495519065559282,1
0.13152946437965907,0.12775845264491192,0.13068197189275108,0.13601470508735444,0.14806154876341868,1
0.1310640216755832,0.12775845264491204,0.13068197189275094,0.1382831234179436,0.1418136492412176,1
0.09758187445536298,0.094809751022186,0.09480975102218597,0.10225241100118647,0.11279282877125758,1
0.09386751893552475,0.0902465758045393,0.09333333333333327,0.11205157542647741,0.09545214042184237,1
0.1201850425154663,0.11685698761972071,0.1233333333333333,0.1341640786499874,0.1256538454998051,1
0.07280109889280514,0.07063206700139028,0.07378647873726224,0.07923242882669798,0.09689627902499083,1
0.10354816378006039,0.10005554013202421,0.1067187372905475,0.12529964086141668,0.10588253449512387,1
0.12041594578792295,0.11709445380166866,0.12041594578792295,0.13437096247164257,0.13498971154211056,1
0.0902465758045392,0.08692269873603532,0.0902465758045392,0.10434983894999021,0.10268614533832905,1
0.1268419839362697,0.1233333333333334,0.126710518724988,0.14907119849998604,0.13119112436102953,1
